alpha,beta,co2
0,0,0
0.100000001,0,0.556797683
0.200000003,0,0.556797683
0.300000012,0,0.556797683
0.400000006,0,0.556797683
0.5,0,0.556797683
0.600000024,0,0.556797683
0.700000048,0,0.556797683
0.800000072,0,0.556797683
0.900000095,0,0.556797683
1.00000012,0,0.556797683
0,0.100000001,0
0.100000001,0.100000001,5.37341785
0.200000003,0.100000001,2.7341063
0.300000012,0.100000001,2.86899805
0.400000006,0.100000001,2.55124068
0.5,0.100000001,2.73543024
0.600000024,0.100000001,2.90599537
0.700000048,0.100000001,2.86621737
0.800000072,0.100000001,2.62122488
0.900000095,0.100000001,3.02727461
1.00000012,0.100000001,2.81058288
0,0.200000003,0
0.100000001,0.200000003,2.86454701
0.200000003,0.200000003,7.11976385
0.300000012,0.200000003,5.71896791
0.400000006,0.200000003,5.71135092
0.5,0.200000003,5.78826618
0.600000024,0.200000003,5.75130177
0.700000048,0.200000003,5.7502656
0.800000072,0.200000003,5.67389774
0.900000095,0.200000003,5.72712708
1.00000012,0.200000003,5.73228884
0,0.300000012,0
0.100000001,0.300000012,2.86727214
0.200000003,0.300000012,4.77327299
0.300000012,0.300000012,3.96432543
0.400000006,0.300000012,3.94766712
0.5,0.300000012,4.13535452
0.600000024,0.300000012,4.05673981
0.700000048,0.300000012,4.15164137
0.800000072,0.300000012,3.91318846
0.900000095,0.300000012,4.04554939
1.00000012,0.300000012,4.0431819
0,0.400000006,0
0.100000001,0.400000006,2.86034012
0.200000003,0.400000006,4.76277113
0.300000012,0.400000006,4.22374201
0.400000006,0.400000006,4.25843477
0.5,0.400000006,3.92078948
0.600000024,0.400000006,4.08171701
0.700000048,0.400000006,4.06390953
0.800000072,0.400000006,4.17766809
0.900000095,0.400000006,4.12687922
1.00000012,0.400000006,4.1221981
0,0.5,0
0.100000001,0.5,2.86284709
0.200000003,0.5,4.75874186
0.300000012,0.5,4.2197361
0.400000006,0.5,4.2739749
0.5,0.5,3.98012185
0.600000024,0.5,4.05721712
0.700000048,0.5,4.09498405
0.800000072,0.5,4.07262659
0.900000095,0.5,3.99664164
1.00000012,0.5,4.02981043
0,0.600000024,0
0.100000001,0.600000024,2.86276889
0.200000003,0.600000024,4.77241659
0.300000012,0.600000024,4.0705843
0.400000006,0.600000024,4.39140415
0.5,0.600000024,4.2370739
0.600000024,0.600000024,4.08486843
0.700000048,0.600000024,3.91254401
0.800000072,0.600000024,4.08167744
0.900000095,0.600000024,4.26329279
1.00000012,0.600000024,4.06704569
0,0.700000048,0
0.100000001,0.700000048,2.87026238
0.200000003,0.700000048,4.76920795
0.300000012,0.700000048,3.99645877
0.400000006,0.700000048,4.21261024
0.5,0.700000048,4.29349518
0.600000024,0.700000048,4.27310705
0.700000048,0.700000048,4.01202106
0.800000072,0.700000048,4.08201933
0.900000095,0.700000048,4.26414108
1.00000012,0.700000048,3.87321281
0,0.800000072,0
0.100000001,0.800000072,2.8688519
0.200000003,0.800000072,4.7601552
0.300000012,0.800000072,3.81008816
0.400000006,0.800000072,4.08500814
0.5,0.800000072,4.02634621
0.600000024,0.800000072,4.15399265
0.700000048,0.800000072,4.1200223
0.800000072,0.800000072,4.21013403
0.900000095,0.800000072,3.94813991
1.00000012,0.800000072,3.99129272
0,0.900000095,0
0.100000001,0.900000095,2.86193228
0.200000003,0.900000095,4.76494741
0.300000012,0.900000095,3.96477795
0.400000006,0.900000095,4.20932436
0.5,0.900000095,3.88811493
0.600000024,0.900000095,4.13895273
0.700000048,0.900000095,4.10036755
0.800000072,0.900000095,4.09034538
0.900000095,0.900000095,4.02086115
1.00000012,0.900000095,4.04409504
0,1.00000012,0
0.100000001,1.00000012,2.86558843
0.200000003,1.00000012,4.75574303
0.300000012,1.00000012,4.17710495
0.400000006,1.00000012,4.05141354
0.5,1.00000012,4.13423014
0.600000024,1.00000012,4.27502346
0.700000048,1.00000012,3.94997358
0.800000072,1.00000012,3.82701802
0.900000095,1.00000012,3.96149755
1.00000012,1.00000012,4.05856323
