alpha,beta,co2,J
0,0,0,0
0.100000001,0,0.556797683,0
0.200000003,0,0.556797683,0
0.300000012,0,0.556797683,0
0.400000006,0,0.556797683,0
0.5,0,0.556797683,0
0.600000024,0,0.556797683,0
0.700000048,0,0.556797683,0
0.800000072,0,0.556797683,0
0.900000095,0,0.556797683,0
1.00000012,0,0.556797683,0
0,0.100000001,0,0
0.100000001,0.100000001,5.37341785,0.224331439
0.200000003,0.100000001,2.7341063,0.161101252
0.300000012,0.100000001,2.86899805,0.170277923
0.400000006,0.100000001,2.55124068,0.148317471
0.5,0.100000001,2.73543024,0.16185011
0.600000024,0.100000001,2.90599537,0.174342483
0.700000048,0.100000001,2.86621737,0.170815751
0.800000072,0.100000001,2.62122488,0.15256235
0.900000095,0.100000001,3.02727461,0.183785781
1.00000012,0.100000001,2.81058288,0.165387273
0,0.200000003,0,0
0.100000001,0.200000003,2.86454701,0.245937943
0.200000003,0.200000003,7.11976385,0.415953547
0.300000012,0.200000003,5.71896791,0.421515048
0.400000006,0.200000003,5.71135092,0.416412741
0.5,0.200000003,5.78826618,0.420747459
0.600000024,0.200000003,5.75130177,0.419770509
0.700000048,0.200000003,5.7502656,0.421920121
0.800000072,0.200000003,5.67389774,0.420794666
0.900000095,0.200000003,5.72712708,0.418593198
1.00000012,0.200000003,5.73228884,0.414853096
0,0.300000012,0,0
0.100000001,0.300000012,2.86727214,0.245767698
0.200000003,0.300000012,4.77327299,0.477136195
0.300000012,0.300000012,3.96432543,0.51170975
0.400000006,0.300000012,3.94766712,0.511666715
0.5,0.300000012,4.13535452,0.513306618
0.600000024,0.300000012,4.05673981,0.512608588
0.700000048,0.300000012,4.15164137,0.513570964
0.800000072,0.300000012,3.91318846,0.51120615
0.900000095,0.300000012,4.04554939,0.512649536
1.00000012,0.300000012,4.0431819,0.512601197
0,0.400000006,0,0
0.100000001,0.400000006,2.86034012,0.245351657
0.200000003,0.400000006,4.76277113,0.47651729
0.300000012,0.400000006,4.22374201,0.513860583
0.400000006,0.400000006,4.25843477,0.51458019
0.5,0.400000006,3.92078948,0.511353195
0.600000024,0.400000006,4.08171701,0.512727737
0.700000048,0.400000006,4.06390953,0.512801051
0.800000072,0.400000006,4.17766809,0.513809919
0.900000095,0.400000006,4.12687922,0.513196111
1.00000012,0.400000006,4.1221981,0.513063192
0,0.5,0,0
0.100000001,0.5,2.86284709,0.24609682
0.200000003,0.5,4.75874186,0.476193458
0.300000012,0.5,4.2197361,0.514267504
0.400000006,0.5,4.2739749,0.514979661
0.5,0.5,3.98012185,0.5121333
0.600000024,0.5,4.05721712,0.512709439
0.700000048,0.5,4.09498405,0.513178766
0.800000072,0.5,4.07262659,0.512537003
0.900000095,0.5,3.99664164,0.511861801
1.00000012,0.5,4.02981043,0.512079954
0,0.600000024,0,0
0.100000001,0.600000024,2.86276889,0.245405793
0.200000003,0.600000024,4.77241659,0.476255596
0.300000012,0.600000024,4.0705843,0.513016641
0.400000006,0.600000024,4.39140415,0.515690804
0.5,0.600000024,4.2370739,0.513963401
0.600000024,0.600000024,4.08486843,0.512537837
0.700000048,0.600000024,3.91254401,0.511409342
0.800000072,0.600000024,4.08167744,0.512444437
0.900000095,0.600000024,4.26329279,0.514381528
1.00000012,0.600000024,4.06704569,0.512714326
0,0.700000048,0,0
0.100000001,0.700000048,2.87026238,0.245639965
0.200000003,0.700000048,4.76920795,0.476166159
0.300000012,0.700000048,3.99645877,0.511889398
0.400000006,0.700000048,4.21261024,0.514052987
0.5,0.700000048,4.29349518,0.515196204
0.600000024,0.700000048,4.27310705,0.514706016
0.700000048,0.700000048,4.01202106,0.512729347
0.800000072,0.700000048,4.08201933,0.512862444
0.900000095,0.700000048,4.26414108,0.514615297
1.00000012,0.700000048,3.87321281,0.511080146
0,0.800000072,0,0
0.100000001,0.800000072,2.8688519,0.246569172
0.200000003,0.800000072,4.7601552,0.47649008
0.300000012,0.800000072,3.81008816,0.510521233
0.400000006,0.800000072,4.08500814,0.512648284
0.5,0.800000072,4.02634621,0.512312651
0.600000024,0.800000072,4.15399265,0.513730526
0.700000048,0.800000072,4.1200223,0.513251841
0.800000072,0.800000072,4.21013403,0.514066279
0.900000095,0.800000072,3.94813991,0.511783063
1.00000012,0.800000072,3.99129272,0.512275994
0,0.900000095,0,0
0.100000001,0.900000095,2.86193228,0.245587751
0.200000003,0.900000095,4.76494741,0.47642532
0.300000012,0.900000095,3.96477795,0.512138665
0.400000006,0.900000095,4.20932436,0.514002323
0.5,0.900000095,3.88811493,0.511115432
0.600000024,0.900000095,4.13895273,0.51333487
0.700000048,0.900000095,4.10036755,0.513422132
0.800000072,0.900000095,4.09034538,0.512701273
0.900000095,0.900000095,4.02086115,0.512415051
1.00000012,0.900000095,4.04409504,0.512234926
0,1.00000012,0,0
0.100000001,1.00000012,2.86558843,0.24542506
0.200000003,1.00000012,4.75574303,0.475931555
0.300000012,1.00000012,4.17710495,0.513664961
0.400000006,1.00000012,4.05141354,0.512573957
0.5,1.00000012,4.13423014,0.513180912
0.600000024,1.00000012,4.27502346,0.515012264
0.700000048,1.00000012,3.94997358,0.511665106
0.800000072,1.00000012,3.82701802,0.510856569
0.900000095,1.00000012,3.96149755,0.511375546
1.00000012,1.00000012,4.05856323,0.512773931
