ALPHA,BETA,J,CO2
0,0,0,0
0.00999999978,0,0,0.55304426
0.0199999996,0,0,0.55304426
0.0299999993,0,0,0.55304426
0.0399999991,0,0,0.55304426
0.049999997,0,0,0.55304426
0.0599999949,0,0,0.55304426
0.0699999928,0,0,0.55304426
0.0799999908,0,0,0.55304426
0.0899999887,0,0,0.55304426
0.0999999866,0,0,0.55304426
0.10999998,0,0,0.55304426
0.11999998,0,0,0.55304426
0.12999998,0,0,0.55304426
0.13999999,0,0,0.55304426
0.14999999,0,0,0.55304426
0.16,0,0,0.55304426
0.17,0,0,0.55304426
0.18000001,0,0,0.55304426
0.19000001,0,0,0.55304426
0.20000002,0,0,0.55304426
0.21000002,0,0,0.55304426
0.22000003,0,0,0.55304426
0.23000003,0,0,0.55304426
0.24000004,0,0,0.55304426
0.25000003,0,0,0.55304426
0.26000002,0,0,0.55304426
0.27000001,0,0,0.55304426
0.28,0,0,0.55304426
0.28999999,0,0,0.55304426
0.29999998,0,0,0.55304426
0.30999997,0,0,0.55304426
0.31999996,0,0,0.55304426
0.32999995,0,0,0.55304426
0.33999994,0,0,0.55304426
0.34999993,0,0,0.55304426
0.35999992,0,0,0.55304426
0.36999992,0,0,0.55304426
0.37999991,0,0,0.55304426
0.3899999,0,0,0.55304426
0.39999989,0,0,0.55304426
0.40999988,0,0,0.55304426
0.41999987,0,0,0.55304426
0.42999986,0,0,0.55304426
0.43999985,0,0,0.55304426
0.44999984,0,0,0.55304426
0.45999983,0,0,0.55304426
0.46999982,0,0,0.55304426
0.47999981,0,0,0.55304426
0.4899998,0,0,0.55304426
0.49999979,0,0,0.55304426
0.50999981,0,0,0.55304426
0.5199998,0,0,0.55304426
0.52999979,0,0,0.55304426
0.53999978,0,0,0.55304426
0.54999977,0,0,0.55304426
0.55999976,0,0,0.55304426
0.56999975,0,0,0.55304426
0.57999974,0,0,0.55304426
0.58999974,0,0,0.55304426
0.59999973,0,0,0.55304426
0.60999972,0,0,0.55304426
0.61999971,0,0,0.55304426
0.6299997,0,0,0.55304426
0.63999969,0,0,0.55304426
0.64999968,0,0,0.55304426
0.65999967,0,0,0.55304426
0.66999966,0,0,0.55304426
0.67999965,0,0,0.55304426
0.68999964,0,0,0.55304426
0.69999963,0,0,0.55304426
0.70999962,0,0,0.55304426
0.71999961,0,0,0.55304426
0.7299996,0,0,0.55304426
0.73999959,0,0,0.55304426
0.74999958,0,0,0.55304426
0.75999957,0,0,0.55304426
0.76999956,0,0,0.55304426
0.77999955,0,0,0.55304426
0.78999954,0,0,0.55304426
0.79999954,0,0,0.55304426
0.80999953,0,0,0.55304426
0.81999952,0,0,0.55304426
0.82999951,0,0,0.55304426
0.8399995,0,0,0.55304426
0.84999949,0,0,0.55304426
0.85999948,0,0,0.55304426
0.86999947,0,0,0.55304426
0.87999946,0,0,0.55304426
0.88999945,0,0,0.55304426
0.89999944,0,0,0.55304426
0.90999943,0,0,0.55304426
0.91999942,0,0,0.55304426
0.92999941,0,0,0.55304426
0.9399994,0,0,0.55304426
0.94999939,0,0,0.55304426
0.95999938,0,0,0.55304426
0.96999937,0,0,0.55304426
0.97999936,0,0,0.55304426
0.98999935,0,0,0.55304426
0.99999934,0,0,0.55304426
0,0.00999999978,0,0
0.00999999978,0.00999999978,0.0331229195,1.9558448
0.0199999996,0.00999999978,0.0229566153,2.4283795
0.0299999993,0.00999999978,0.0229566153,0.95232189
0.0399999991,0.00999999978,0.00998507906,0.73094273
0.049999997,0.00999999978,0.0123952534,0.78747517
0.0599999949,0.00999999978,0.0201747697,0.88890839
0.0699999928,0.00999999978,0.0190308187,0.88581216
0.0799999908,0.00999999978,0.0108942743,0.74607408
0.0899999887,0.00999999978,0.0173226371,0.88516843
0.0999999866,0.00999999978,0.0162287895,0.83887929
0.10999998,0.00999999978,0.0201498326,0.89950371
0.11999998,0.00999999978,0.00933822058,0.71522886
0.12999998,0.00999999978,0.0123677924,0.77181578
0.13999999,0.00999999978,0.0126199983,0.77417785
0.14999999,0.00999999978,0.0146553321,0.81760377
0.16,0.00999999978,0.0190707371,0.89040822
0.17,0.00999999978,0.0181217473,0.86766124
0.18000001,0.00999999978,0.0121729467,0.78756487
0.19000001,0.00999999978,0.00706047285,0.67676222
0.20000002,0.00999999978,0.0151574071,0.82030165
0.21000002,0.00999999978,0.0200846065,0.90151244
0.22000003,0.00999999978,0.0206892136,0.89945358
0.23000003,0.00999999978,0.00775227649,0.6866203
0.24000004,0.00999999978,0.0120829651,0.77561688
0.25000003,0.00999999978,0.0149375973,0.80801082
0.26000002,0.00999999978,0.0137113966,0.78413671
0.27000001,0.00999999978,0.00372627052,0.62121016
0.28,0.00999999978,0.0114336815,0.77318913
0.28999999,0.00999999978,0.0135065923,0.78995079
0.29999998,0.00999999978,0.0130595155,0.76754642
0.30999997,0.00999999978,0.0189036429,0.88472921
0.31999996,0.00999999978,0.0157092847,0.8333323
0.32999995,0.00999999978,0.00960540585,0.72498327
0.33999994,0.00999999978,0.0268651396,0.99431342
0.34999993,0.00999999978,0.0198749639,0.87193131
0.35999992,0.00999999978,0.0200524144,0.90929687
0.36999992,0.00999999978,0.00866889115,0.70358938
0.37999991,0.00999999978,0.0174450129,0.83338428
0.3899999,0.00999999978,0.0152373929,0.7987715
0.39999989,0.00999999978,0.0170305427,0.82326865
0.40999988,0.00999999978,0.01067938,0.73628134
0.41999987,0.00999999978,0.0153546799,0.82026994
0.42999986,0.00999999978,0.0231637955,0.93396133
0.43999985,0.00999999978,0.0145055186,0.83143753
0.44999984,0.00999999978,0.0180069618,0.8869139
0.45999983,0.00999999978,0.00905602332,0.7084465
0.46999982,0.00999999978,0.0148177845,0.82988077
0.47999981,0.00999999978,0.0206168126,0.90523249
0.4899998,0.00999999978,0.0138612362,0.81115246
0.49999979,0.00999999978,0.0121655054,0.78221875
0.50999981,0.00999999978,0.0195105113,0.88367558
0.5199998,0.00999999978,0.00774479797,0.70090759
0.52999979,0.00999999978,0.0123752495,0.76624942
0.53999978,0.00999999978,0.012699943,0.76179284
0.54999977,0.00999999978,0.0175373554,0.84328163
0.55999976,0.00999999978,0.00709296111,0.68650877
0.56999975,0.00999999978,0.00708794221,0.68477333
0.57999974,0.00999999978,0.0165933035,0.83158052
0.58999974,0.00999999978,0.0111964075,0.73156101
0.59999973,0.00999999978,0.0101624727,0.76607198
0.60999972,0.00999999978,0.0252520591,0.98691565
0.61999971,0.00999999978,0.0126924235,0.77233499
0.6299997,0.00999999978,0.00948059373,0.73390228
0.63999969,0.00999999978,0.0174650233,0.8608824
0.64999968,0.00999999978,0.0106119905,0.7370593
0.65999967,0.00999999978,0.0147128673,0.82410675
0.66999966,0.00999999978,0.014995073,0.81160134
0.67999965,0.00999999978,0.0188660808,0.89462674
0.68999964,0.00999999978,0.0217879247,0.92257237
0.69999963,0.00999999978,0.0136114815,0.80887401
0.70999962,0.00999999978,0.0108841956,0.73201269
0.71999961,0.00999999978,0.0150125651,0.81635958
0.7299996,0.00999999978,0.0179795325,0.86303103
0.73999959,0.00999999978,0.0156843569,0.83071226
0.74999958,0.00999999978,0.0129746776,0.79537052
0.75999957,0.00999999978,0.0120855384,0.76719445
0.76999956,0.00999999978,0.017260287,0.87951696
0.77999955,0.00999999978,0.0213809647,0.92498058
0.78999954,0.00999999978,0.0128847882,0.7963897
0.79999954,0.00999999978,0.0188136064,0.8593998
0.80999953,0.00999999978,0.0149376169,0.78270966
0.81999952,0.00999999978,0.0110839717,0.73983479
0.82999951,0.00999999978,0.0107868155,0.7355271
0.8399995,0.00999999978,0.011800875,0.78535014
0.84999949,0.00999999978,0.00981525797,0.72957587
0.85999948,0.00999999978,0.0188959856,0.86287421
0.86999947,0.00999999978,0.0100325458,0.73457175
0.87999946,0.00999999978,0.0185489431,0.87168574
0.88999945,0.00999999978,0.00682570506,0.67615354
0.89999944,0.00999999978,0.00979030784,0.72780633
0.90999943,0.00999999978,0.0122653469,0.78162539
0.91999942,0.00999999978,0.00817937963,0.71715659
0.92999941,0.00999999978,0.0159840416,0.82727838
0.9399994,0.00999999978,0.00905353762,0.74318594
0.94999939,0.00999999978,0.0127923358,0.78237659
0.95999938,0.00999999978,0.0172102489,0.85414284
0.96999937,0.00999999978,0.0112264063,0.75982559
0.97999936,0.00999999978,0.0167831555,0.83190274
0.98999935,0.00999999978,0.0189086404,0.90503258
0.99999934,0.00999999978,0.0136939064,0.80410045
0,0.0199999996,0,0
0.00999999978,0.0199999996,0.0644261688,1.9286443
0.0199999996,0.0199999996,0.0800409093,2.0088792
0.0299999993,0.0199999996,0.046882648,1.9886694
0.0399999991,0.0199999996,0.0429339446,1.3438407
0.049999997,0.0199999996,0.0331164896,1.1233258
0.0599999949,0.0199999996,0.0333513394,1.1273912
0.0699999928,0.0199999996,0.0277819708,0.99863708
0.0799999908,0.0199999996,0.0267581325,1.0135291
